Image URL,Emotional Class
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_815996026250023587.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_41939840264214631.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_5207355811021059.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986254.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_106890191150384309.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_17381148554499275.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_14425661295999768.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_14425661314878984.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_8092474325450030.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986334.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_12103492742172550.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_602145412715595141.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_98586679343448512.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_735634920402858579.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_473933560801501188.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655617.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_6122149473129917.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655603.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_92534967342949741.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_252342385363903113.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_97320041937333782.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_331436853843690020.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1900024831814667.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_638737159682727080.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_21955116925940526.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_2181499804563321.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_920212136354639594.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655819.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_4151824650950405.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_240379698854110845.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_527765650091618475.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_620230179965510221.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_128423026868610794.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_5629568277987810.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_68745657898.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986321.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1125968642147614.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655825.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_51509989462570940.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_975873812999671492.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_3729612240977478.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655986.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_299630181453067042.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1038009414106399997.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986241.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_3588874679658594.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_42432421461991449.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_985231163468546.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_3518505953424114.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_773211829806315903.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_148407750213958283.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_942237553285136173.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_3588874694655860.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_10977592830565983.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_27303141476162776.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655776.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1337074877371825.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655762.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655774.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655760.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1148629079951284171.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_469852173597952823.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_90001692540049765.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_26951297762930340.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_334040497379563431.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655984.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_75646468736202811.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_31454897384973788.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655947.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_191684527887231774.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_636485359806584128.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_838725130622008232.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_422281210788954.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_425308758568038141.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_181481059980116866.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_660762576595424141.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751656080.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_902760687780366412.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655748.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_7248049394788292.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_410109109835709329.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_69102175526656010.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1407443628538433.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_301178293805446076.gif,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_428193877084015536.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986323.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_21744010692328365.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_9359111716234315.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_18577417206442140.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_18718154693348659.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986451.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_277464027033525112.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655600.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_23151385568580196.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_28851253854559572.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_56646907804426680.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_202873158200962336.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_297800594124583733.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_216454325825908890.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_643592602996775767.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_857795060308907142.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_752312312788632163.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_44965696272940983.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1407443628430522.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_359232507787505599.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_119134352637236918.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_264023596897048827.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_539657967902865008.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_13088655160645597.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_34269647160929698.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986322.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_19984792090565321.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986444.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751656136.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_446700856785060544.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1125968643142283.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_29695678765815253.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986242.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_5418462045438458.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_23221754319689922.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_390194755193110320.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986256.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_234961305540251158.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_86342517852018472.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_421579215136516111.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_7248049394397346.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_12525705203623155.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655952.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_62346776086229385.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_206391595418297755.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1028157789899866670.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_4011087174264876.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_93027548543089692.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_103653228906992682.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_17944098508503938.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_27514247716007321.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655759.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_117656609007118020.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1688918594981708.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_14284923808391971.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751655765.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_902619950305917695.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_319051954861164128.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_315463148915205343.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_480829697730281877.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_5348093295202572.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_11259067811295896.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751656046.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514751656052.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_290974825945852523.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_752664156507048972.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_640496378276784690.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_7810999347859474.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_693906255106387098.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_21532904462954967.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986246.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_334673816061861466.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_328410997807316705.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_468937379934778800.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_14073817579640712.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_240379698854635457.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_3448137207418523.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_602356518944369102.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986440.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_5629568277964232.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_77264949867745604.png,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986332.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_1105774514745986454.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_18929260924190359.jpg,neutral-face
file:///Users/nixi/Desktop/Final thesis folder 24/AI-for-Media-project-23-24/my-classification-dataset/neutral-face/pinterest_23995810504019162.jpg,neutral-face
